Fecha,Magnitud,Epicentro,Periodo,Mes,Mes_num,Entidad,Magnitud_cats
1900-01-20,7.4,"71 km al NOROESTE de AUTLAN DE NAVARRO, JAL",1900,ene,1,JAL,7 a 7.9
1900-05-16,6.9,"71 km al NOROESTE de AUTLAN DE NAVARRO, JAL",1900,may,5,JAL,6 a 6.9
1901-03-05,6.9,"100 km al NORESTE de LA PAZ, BCS",1901,mar,3,BCS,6 a 6.9
1901-12-08,7,"83 km al OESTE de AHOME, SIN",1901,dic,12,SIN,7 a 7.9
1902-01-16,7,"21 km al OESTE de ZUMPANGO DEL RIO, GRO",1902,ene,1,GRO,7 a 7.9
1902-04-18,7.5,"72 km al ESTE de CACAHOATAN, CHIS",1902,abr,4,CHIS,7 a 7.9
1902-09-23,7.7,"5 km al SUROESTE de TEOPISCA, CHIS",1902,sep,9,CHIS,7 a 7.9
1902-12-12,7.1,"115 km al NORTE de GUERRERO NEGRO, BCS",1902,dic,12,BCS,7 a 7.9
1903-01-13,7.6,"50 km al SUR de MAPASTEPEC, CHIS",1903,ene,1,CHIS,7 a 7.9
1905-10-24,6.6,"320 km al SUR de CABO SAN LUCAS, BCS",1905,oct,10,BCS,6 a 6.9
1905-12-16,7.1,"727 km al SUROESTE de CABO SAN LUCAS, BCS",1905,dic,12,BCS,7 a 7.9
1906-04-10,7.1,"320 km al SUR de CABO SAN LUCAS, BCS",1906,abr,4,BCS,7 a 7.9
1907-04-15,7.6,"23 km al SURESTE de SAN MARCOS, GRO",1907,abr,4,GRO,7 a 7.9
1907-10-16,7.1,"77 km al NOROESTE de SANTA ROSALIA, BCS",1907,oct,10,BCS,7 a 7.9
1908-03-26,7.5,"23 km al SURESTE de SAN MARCOS, GRO",1908,mar,3,GRO,7 a 7.9
1908-03-26,7,"46 km al SUROESTE de TECPAN, GRO",1908,mar,3,GRO,7 a 7.9
1908-10-12,6.9,"23 km al ESTE de LAS GUACAMAYAS, MICH",1908,oct,10,MICH,6 a 6.9
1909-07-30,7.2,"8 km al SUR de ACAPULCO, GRO",1909,jul,7,GRO,7 a 7.9
1909-07-31,6.9,"20 km al SUROESTE de SAN MARCOS, GRO",1909,jul,7,GRO,6 a 6.9
1909-09-05,6.6,"42 km al SURESTE de ACAPULCO, GRO",1909,sep,9,GRO,6 a 6.9
1909-10-31,6.9,"60 km al SUR de PETATLAN, GRO",1909,oct,10,GRO,6 a 6.9
1910-05-30,6.5,"23 km al SURESTE de SAN MARCOS, GRO",1910,may,5,GRO,6 a 6.9
1910-09-23,6.9,"65 km al SURESTE de TLACOLULA, OAX",1910,sep,9,OAX,6 a 6.9
1911-02-03,6.5,"19 km al ESTE de H HUAJUAPAN DE LEON, OAX",1911,feb,2,OAX,6 a 6.9
1911-06-07,7.6,"59 km al SUROESTE de CD LAZARO CARDENAS, MICH",1911,jun,6,MICH,7 a 7.9
1911-08-27,6.7,"51 km al ESTE de TLACOLULA, OAX",1911,ago,8,OAX,6 a 6.9
1911-12-16,7.5,"36 km al SUR de TECPAN, GRO",1911,dic,12,GRO,7 a 7.9
1912-11-19,6.9,"15 km al NORESTE de ATLACOMULCO, MEX",1912,nov,11,MEX,6 a 6.9
1912-12-09,7,"13 km al NOROESTE de MAPASTEPEC, CHIS",1912,dic,12,CHIS,7 a 7.9
1914-03-29,7.2,"14 km al NORESTE de OCOSINGO, CHIS",1914,mar,3,CHIS,7 a 7.9
1915-09-06,7.4,"348 km al ESTE de CD HIDALGO, CHIS",1915,sep,9,CHIS,7 a 7.9
1915-11-20,7,"33 km al SURESTE de GPE VICTORIA(KM.43), BC",1915,nov,11,BC,7 a 7.9
1916-06-02,7,"42 km al SUR de SAYULA DE ALEMAN, VER",1916,jun,6,VER,7 a 7.9
1916-11-21,6.8,"43 km al SUROESTE de TELOLOAPAN, GRO",1916,nov,11,GRO,6 a 6.9
